alert_id,transaction_id,alert_rule,score,alert_status,created_ts
A0000069,T00019549,new_device,18.76,closed,2025-08-07 14:02:49
A0000070,T00017119,cross_border,83.42,escalated,2025-11-12 16:28:51
A0000071,T00016565,new_device,59.01,review,2025-02-25 10:47:19
A0000072,T00001269,high_amount,40.51,closed,2025-11-19 20:35:48
A0000073,T00023277,velocity,49.78,closed,2025-01-16 07:53:40
A0000074,T00016190,blacklist_match,70.85,review,2025-08-21 18:48:34
A0000075,T00007405,cross_border,33.87,closed,2025-08-06 09:47:47
A0000076,T00010704,risky_category,64.23,review,2025-12-22 02:11:41
A0000077,T00011666,cross_border,84.86,escalated,2025-07-05 21:55:26
A0000078,T00017660,velocity,57.82,review,2025-08-10 14:37:27
A0000079,T00003470,velocity,38.99,closed,2025-12-11 01:54:20
A0000080,T00014338,high_amount,48.27,closed,2025-07-24 16:09:50
A0000081,T00012761,high_amount,18.64,closed,2025-11-29 04:36:59
A0000082,T00018634,risky_category,4.76,closed,2025-03-10 03:44:33
A0000083,T00017340,blacklist_match,78.06,escalated,2025-08-16 09:51:02
A0000084,T00004805,risky_category,31.23,closed,2025-07-06 20:45:19
A0000085,T00010900,high_amount,77.16,escalated,2025-07-09 01:42:19
A0000086,T00005076,risky_category,50.84,review,2025-04-18 17:45:39
A0000087,T00011459,high_amount,27.02,closed,2025-04-30 19:09:54
A0000088,T00020737,velocity,18.19,closed,2025-01-15 16:34:58
A0000089,T00017920,velocity,56.96,review,2025-09-18 09:45:15
A0000090,T00024127,velocity,66.42,review,2025-02-25 01:40:02
A0000091,T00023502,high_amount,70.66,review,2025-09-23 10:38:47
A0000092,T00022771,risky_category,30.31,closed,2025-12-13 11:31:20
A0000093,T00017620,velocity,51.29,review,2025-02-15 10:49:46
A0000094,T00016658,high_amount,56.62,review,2025-05-13 18:37:04
A0000095,T00021049,velocity,41.38,closed,2025-06-30 14:25:36
A0000096,T00008407,blacklist_match,60.5,review,2025-03-03 17:31:12
A0000097,T00011156,blacklist_match,51.2,review,2025-12-21 11:35:56
A0000098,T00022575,risky_category,54.8,review,2025-06-21 12:52:52
A0000099,T00002117,risky_category,61.34,review,2025-10-19 20:16:12
A0000100,T00008373,new_device,93.54,escalated,2025-11-29 18:08:14
A0000101,T00022373,cross_border,59.54,review,2025-06-02 07:02:23
A0000102,T00013042,velocity,56.52,review,2025-04-25 19:50:40
A0000103,T00006305,cross_border,43.27,closed,2025-09-02 02:22:56
A0000104,T00006926,risky_category,54.86,review,2025-11-22 12:59:57
A0000105,T00021084,velocity,40.93,closed,2025-11-02 17:37:56
A0000106,T00008220,cross_border,64.98,review,2025-02-15 21:12:10
A0000107,T00014835,risky_category,62.53,review,2025-05-05 16:39:18
A0000108,T00004341,risky_category,32.33,closed,2025-07-15 01:43:35
A0000109,T00015548,blacklist_match,51.63,review,2025-12-03 23:45:10
A0000110,T00023853,blacklist_match,62.24,review,2025-12-10 19:17:11
A0000111,T00005223,risky_category,74.6,review,2025-06-16 09:07:25
A0000112,T00013753,cross_border,59.84,review,2025-09-28 17:57:14
A0000113,T00008970,velocity,51.86,review,2025-03-01 18:01:27
A0000114,T00021375,new_device,74.66,review,2025-08-29 00:58:32
A0000115,T00004230,risky_category,59.2,review,2025-03-09 11:12:04
A0000116,T00013264,velocity,14.85,closed,2025-12-29 21:04:35
A0000117,T00013581,risky_category,59.5,review,2025-02-05 12:09:56
A0000118,T00010170,new_device,30.4,closed,2025-07-18 06:27:27
A0000119,T00007604,risky_category,38.43,closed,2025-11-05 13:42:37
A0000120,T00020317,new_device,70.02,review,2025-12-26 15:42:07
A0000121,T00011572,velocity,77.33,escalated,2025-04-20 00:11:44
A0000122,T00014316,blacklist_match,25.97,closed,2025-04-09 07:46:11
A0000123,T00024169,velocity,97.1,escalated,2025-01-16 19:38:06
A0000124,T00006900,high_amount,66.08,review,2025-09-22 02:39:40
A0000125,T00001990,high_amount,83.17,escalated,2025-12-04 12:45:10
A0000126,T00009143,blacklist_match,51.0,review,2025-01-04 14:32:06
A0000127,T00001008,new_device,24.66,closed,2025-05-11 15:41:11
A0000128,T00006572,velocity,29.57,closed,2025-04-22 03:35:48
A0000129,T00004984,cross_border,62.07,review,2025-04-16 10:51:26
A0000130,T00004903,cross_border,64.32,review,2025-03-22 06:28:00
A0000131,T00006876,cross_border,79.86,escalated,2025-02-11 17:13:07
A0000132,T00020260,risky_category,50.69,review,2025-10-01 12:22:03
A0000133,T00017663,high_amount,77.81,escalated,2025-03-09 05:58:19
A0000134,T00024652,high_amount,49.09,closed,2025-11-11 14:31:40
A0000135,T00002995,velocity,51.55,review,2025-09-27 07:40:50
A0000136,T00014692,high_amount,39.49,closed,2025-01-02 05:26:06
A0000137,T00000352,high_amount,12.19,closed,2025-04-20 12:32:21
A0000138,T00007579,cross_border,85.38,escalated,2025-09-14 18:47:08
A0000139,T00016132,cross_border,84.24,escalated,2025-01-08 03:57:49
A0000140,T00019312,blacklist_match,17.64,closed,2025-05-06 13:46:37
A0000141,T00004685,risky_category,67.43,review,2025-08-09 11:53:10
A0000142,T00003895,new_device,68.86,review,2025-11-17 11:00:40
A0000143,T00013470,high_amount,94.22,escalated,2025-12-06 00:20:30
A0000144,T00005955,velocity,81.39,escalated,2025-04-01 11:14:13
A0000145,T00024545,high_amount,90.38,escalated,2025-08-21 06:04:35
A0000146,T00004808,risky_category,33.67,closed,2025-11-15 13:58:26
A0000147,T00007010,risky_category,80.78,escalated,2025-01-02 11:14:00
A0000148,T00000846,new_device,88.98,escalated,2025-02-12 08:26:46
A0000149,T00018599,high_amount,31.86,closed,2025-02-06 07:14:23
A0000150,T00019164,risky_category,29.21,closed,2025-12-10 14:34:40
A0000151,T00017076,new_device,39.75,closed,2025-03-21 11:19:09
A0000152,T00014971,cross_border,40.92,closed,2025-08-24 06:26:11
A0000153,T00010682,new_device,12.08,closed,2025-03-09 17:51:22
A0000154,T00014179,risky_category,51.03,review,2025-10-20 15:34:44
A0000155,T00023880,velocity,50.12,review,2025-04-04 02:45:28
A0000156,T00006578,high_amount,70.88,review,2025-12-30 05:32:35
A0000157,T00000103,risky_category,52.36,review,2025-03-06 07:38:57
A0000158,T00021461,blacklist_match,41.87,closed,2025-05-20 18:43:35
A0000159,T00004860,velocity,70.6,review,2025-04-14 19:11:40
A0000160,T00005498,cross_border,73.92,review,2025-10-24 12:06:24
A0000161,T00011621,risky_category,69.23,review,2025-02-06 07:53:16
A0000162,T00007773,new_device,89.33,escalated,2025-03-03 17:24:28
A0000163,T00020828,cross_border,67.42,review,2025-04-08 01:03:35
A0000164,T00009801,new_device,72.69,review,2025-05-26 05:58:23
A0000165,T00021186,velocity,64.76,review,2025-11-16 18:26:39
A0000166,T00017802,new_device,45.45,closed,2025-02-07 07:42:20
A0000167,T00009424,risky_category,44.99,closed,2025-04-04 04:23:42
A0000168,T00017944,risky_category,61.41,review,2025-08-03 19:56:31
A0000169,T00003150,blacklist_match,32.21,closed,2025-01-27 12:48:18
A0000170,T00016311,cross_border,17.81,closed,2025-12-17 13:26:25
A0000171,T00006865,cross_border,70.1,review,2025-09-18 10:41:03
A0000172,T00020908,blacklist_match,62.87,review,2025-05-05 22:17:35
A0000173,T00009212,new_device,30.77,closed,2025-05-04 12:51:08
A0000174,T00006286,risky_category,64.51,review,2025-02-11 10:20:08
A0000175,T00011294,new_device,59.94,review,2025-12-22 13:42:56
A0000176,T00019211,risky_category,49.93,closed,2025-06-02 06:01:52
A0000177,T00017004,cross_border,47.04,closed,2025-10-25 13:22:44
A0000178,T00020610,velocity,93.05,escalated,2025-08-07 13:46:00
A0000179,T00020126,new_device,100.0,escalated,2025-10-05 14:49:16
A0000180,T00020486,high_amount,31.24,closed,2025-02-09 04:23:19
A0000181,T00015831,high_amount,85.27,escalated,2025-06-30 23:41:30
A0000182,T00023381,velocity,53.98,review,2025-07-25 19:48:48
A0000183,T00019159,risky_category,46.54,closed,2025-01-13 03:46:40
A0000184,T00013146,new_device,60.8,review,2025-10-25 02:49:21
A0000185,T00010432,new_device,40.02,closed,2025-02-01 04:35:47
A0000186,T00002430,risky_category,85.15,escalated,2025-10-15 18:18:40
A0000187,T00000972,new_device,22.74,closed,2025-03-18 23:27:11
A0000188,T00017451,high_amount,22.51,closed,2025-12-26 14:42:34
A0000189,T00007347,velocity,14.99,closed,2025-07-25 10:12:00
A0000190,T00003405,new_device,34.86,closed,2025-03-07 11:34:01
A0000191,T00013854,velocity,22.59,closed,2025-04-29 23:20:31
A0000192,T00024239,cross_border,44.92,closed,2025-03-01 07:34:37
A0000193,T00007931,high_amount,31.78,closed,2025-09-10 02:19:25
A0000194,T00002238,blacklist_match,34.06,closed,2025-07-23 21:38:21
A0000195,T00015494,new_device,46.16,closed,2025-12-03 15:05:40
A0000196,T00020323,new_device,60.83,review,2025-09-16 08:18:03
A0000197,T00005509,cross_border,77.61,escalated,2025-12-19 01:47:01
A0000198,T00010138,velocity,19.23,closed,2025-04-13 02:17:10
A0000199,T00023966,high_amount,48.1,closed,2025-04-22 21:39:43
A0000200,T00006952,velocity,34.74,closed,2025-02-28 11:19:58
A0000201,T00009399,velocity,38.33,closed,2025-11-29 21:41:27
A0000202,T00016656,cross_border,17.5,closed,2025-04-22 22:16:23
A0000203,T00014543,risky_category,80.75,escalated,2025-12-21 09:47:27
A0000204,T00013181,velocity,36.24,closed,2025-03-06 19:58:13
A0000205,T00005822,high_amount,66.82,review,2025-03-08 17:33:45
A0000206,T00000446,cross_border,39.93,closed,2025-01-24 05:41:20
A0000207,T00013022,risky_category,50.92,review,2025-07-06 13:29:23
A0000208,T00001913,cross_border,56.48,review,2025-09-22 08:26:04
A0000209,T00011048,velocity,48.53,closed,2025-07-05 17:49:42
A0000210,T00020941,new_device,56.07,review,2025-06-15 13:48:44
A0000211,T00022056,blacklist_match,79.94,escalated,2025-12-18 05:28:38
A0000212,T00022364,new_device,69.53,review,2025-09-12 13:58:04
A0000213,T00014558,cross_border,40.82,closed,2025-10-27 03:35:24
A0000214,T00015068,risky_category,72.04,review,2025-04-28 14:20:09
A0000215,T00010308,cross_border,47.38,closed,2025-02-24 15:27:27
A0000216,T00017101,high_amount,64.13,review,2025-04-24 05:19:39
A0000217,T00019477,cross_border,10.8,closed,2025-05-29 20:20:00
A0000218,T00018843,high_amount,86.4,escalated,2025-10-28 01:43:50
A0000219,T00024070,risky_category,71.19,review,2025-04-14 17:50:37
A0000220,T00007635,new_device,74.72,review,2025-01-05 20:54:46
A0000221,T00024639,blacklist_match,76.36,escalated,2025-04-23 16:18:47
A0000222,T00009357,cross_border,25.62,closed,2025-04-18 22:12:55
A0000223,T00023244,cross_border,62.98,review,2025-10-26 20:48:40
A0000224,T00015347,risky_category,42.5,closed,2025-05-10 21:18:13
A0000225,T00003314,risky_category,79.49,escalated,2025-11-02 02:18:03
A0000226,T00011808,cross_border,39.13,closed,2025-07-25 01:36:15
A0000227,T00014867,new_device,45.94,closed,2025-12-03 00:22:00
A0000228,T00019986,high_amount,68.37,review,2025-03-30 21:44:13
A0000229,T00017961,blacklist_match,87.04,escalated,2025-10-30 01:29:06
A0000230,T00014070,high_amount,89.46,escalated,2025-03-10 13:12:01
A0000231,T00014171,risky_category,71.4,review,2025-09-19 16:58:55
A0000232,T00000953,velocity,73.32,review,2025-07-30 10:00:32
A0000233,T00018054,cross_border,59.04,review,2025-05-29 07:36:30
A0000234,T00005531,blacklist_match,84.3,escalated,2025-01-24 03:08:26
A0000235,T00010523,high_amount,51.13,review,2025-11-29 15:36:50
A0000236,T00001572,velocity,19.78,closed,2025-12-12 04:39:55
A0000237,T00022670,blacklist_match,49.08,closed,2025-04-22 11:49:08
A0000238,T00014847,new_device,45.84,closed,2025-05-05 14:37:05
A0000239,T00002864,cross_border,63.56,review,2025-10-23 21:44:27
A0000240,T00007430,high_amount,56.07,review,2025-02-03 21:34:20
A0000241,T00016874,velocity,27.71,closed,2025-06-21 21:41:46
A0000242,T00014934,risky_category,51.57,review,2025-03-07 15:20:08
A0000243,T00024833,risky_category,37.83,closed,2025-05-25 04:14:03
A0000244,T00011400,cross_border,77.84,escalated,2025-08-09 21:18:11
A0000245,T00008785,risky_category,1.85,closed,2025-09-16 22:46:18
A0000246,T00018084,risky_category,67.6,review,2025-10-25 08:32:19
A0000247,T00023808,cross_border,70.46,review,2025-02-19 17:26:12
A0000248,T00024498,velocity,50.97,review,2025-01-02 14:10:48
A0000249,T00009989,high_amount,64.54,review,2025-03-01 21:40:02
A0000250,T00003382,risky_category,50.95,review,2025-06-08 15:33:32
A0000251,T00023074,velocity,30.55,closed,2025-08-20 21:55:38
A0000252,T00009693,new_device,49.94,closed,2025-02-24 16:00:03
A0000253,T00024673,risky_category,50.4,review,2025-06-05 23:29:04
A0000254,T00000900,high_amount,25.97,closed,2025-05-12 08:52:29
A0000255,T00000967,risky_category,68.87,review,2025-12-17 04:49:58
A0000256,T00005772,new_device,71.1,review,2025-12-03 10:12:17
A0000257,T00011859,cross_border,66.1,review,2025-03-09 16:20:43
A0000258,T00000398,risky_category,25.45,closed,2025-06-04 01:58:49
A0000259,T00008624,blacklist_match,66.92,review,2025-12-13 07:19:00
A0000260,T00010747,blacklist_match,37.86,closed,2025-01-05 06:59:17
A0000261,T00008105,risky_category,68.63,review,2025-06-26 20:21:25
A0000262,T00002605,high_amount,77.31,escalated,2025-08-06 18:00:00
A0000263,T00010360,high_amount,61.36,review,2025-07-10 01:52:53
A0000264,T00008954,cross_border,23.68,closed,2025-12-28 20:22:43
A0000265,T00011994,cross_border,70.65,review,2025-06-15 18:29:02
A0000266,T00024573,high_amount,51.13,review,2025-10-15 09:39:47
A0000267,T00014136,velocity,48.61,closed,2025-02-09 09:57:27
A0000268,T00023730,cross_border,50.94,review,2025-10-01 04:51:04
A0000269,T00001779,risky_category,51.81,review,2025-11-10 15:47:28
A0000270,T00005948,risky_category,67.13,review,2025-11-19 23:21:03
A0000271,T00002625,velocity,91.93,escalated,2025-09-28 00:01:03
A0000272,T00019106,new_device,54.37,review,2025-07-01 06:38:34
A0000273,T00005268,high_amount,24.87,closed,2025-05-23 20:08:46
A0000274,T00016062,high_amount,83.84,escalated,2025-02-28 03:22:42
A0000275,T00008510,cross_border,46.46,closed,2025-10-19 18:40:17
A0000276,T00010244,cross_border,89.43,escalated,2025-05-18 13:13:04
A0000277,T00003782,high_amount,70.75,review,2025-12-05 17:31:45
A0000278,T00002682,risky_category,50.78,review,2025-08-13 01:03:33
A0000279,T00019568,velocity,41.54,closed,2025-03-08 08:27:02
A0000280,T00018670,velocity,66.39,review,2025-01-04 22:43:39
A0000281,T00011955,new_device,49.34,closed,2025-09-03 08:42:57
A0000282,T00002392,cross_border,35.86,closed,2025-05-04 21:14:47
A0000283,T00010589,velocity,53.13,review,2025-12-30 06:29:11
A0000284,T00023831,high_amount,65.87,review,2025-10-15 14:42:50
A0000285,T00012872,cross_border,21.08,closed,2025-03-12 08:04:52
A0000286,T00014375,cross_border,49.36,closed,2025-12-05 08:18:36
A0000287,T00020403,velocity,44.41,closed,2025-06-22 19:30:28
A0000288,T00006960,risky_category,66.18,review,2025-04-27 08:27:21
A0000289,T00005695,new_device,49.91,closed,2025-07-19 05:13:24
A0000290,T00003056,high_amount,89.93,escalated,2025-10-08 19:21:22
A0000291,T00006867,velocity,93.79,escalated,2025-10-21 12:32:43
A0000292,T00002897,risky_category,71.56,review,2025-03-06 07:30:44
A0000293,T00024582,risky_category,87.79,escalated,2025-05-02 10:09:33
A0000294,T00012580,risky_category,100.0,escalated,2025-09-12 15:01:26
A0000295,T00012086,blacklist_match,32.89,closed,2025-08-12 06:25:51
A0000296,T00003834,cross_border,71.23,review,2025-10-24 19:48:13
A0000297,T00009446,velocity,43.14,closed,2025-04-23 20:24:59
A0000298,T00016303,velocity,83.52,escalated,2025-12-23 18:33:41
A0000299,T00001644,high_amount,54.2,review,2025-04-20 12:37:56
A0000300,T00015368,velocity,20.24,closed,2025-02-12 21:35:23
A0000301,T00008079,blacklist_match,44.61,closed,2025-03-22 14:28:48
A0000302,T00018550,cross_border,75.22,escalated,2025-01-22 11:23:52
A0000303,T00005361,risky_category,13.27,closed,2025-07-26 10:52:20
A0000304,T00000083,high_amount,32.31,closed,2025-08-21 03:35:08
A0000305,T00018573,velocity,83.94,escalated,2025-03-20 05:35:09
A0000306,T00004447,high_amount,73.96,review,2025-01-12 06:45:15
A0000307,T00015868,high_amount,35.43,closed,2025-12-15 22:06:03
A0000308,T00009134,high_amount,75.43,escalated,2025-01-26 20:30:55
A0000309,T00011140,new_device,58.41,review,2025-05-13 16:29:22
A0000310,T00024068,cross_border,43.35,closed,2025-10-08 11:17:49
A0000311,T00010501,high_amount,84.99,escalated,2025-06-23 04:36:30
A0000312,T00020544,high_amount,62.8,review,2025-11-13 12:32:56
A0000313,T00002409,high_amount,42.1,closed,2025-04-24 11:32:47
A0000314,T00007524,risky_category,82.34,escalated,2025-06-16 19:08:09
A0000315,T00010566,risky_category,53.05,review,2025-04-09 19:45:25
A0000316,T00023510,new_device,63.09,review,2025-07-07 16:59:07
A0000317,T00012092,blacklist_match,78.43,escalated,2025-02-06 14:01:37
A0000318,T00020832,cross_border,62.95,review,2025-03-09 15:12:20
A0000319,T00010039,new_device,77.79,escalated,2025-08-14 01:18:23
A0000320,T00021696,velocity,42.81,closed,2025-05-22 12:14:51
A0000321,T00020491,cross_border,52.31,review,2025-04-04 18:33:59
A0000322,T00016787,risky_category,87.74,escalated,2025-05-07 07:22:36
A0000323,T00021852,cross_border,63.93,review,2025-01-04 00:54:35
A0000324,T00011334,blacklist_match,91.31,escalated,2025-08-02 13:29:27
A0000325,T00000699,velocity,70.22,review,2025-09-01 10:44:28
A0000326,T00013547,high_amount,79.94,escalated,2025-08-08 14:06:58
A0000327,T00024578,new_device,62.51,review,2025-09-02 20:58:59
A0000328,T00008792,risky_category,42.33,closed,2025-10-30 05:47:16
A0000329,T00014149,new_device,11.64,closed,2025-11-25 19:35:12
A0000330,T00001944,velocity,57.11,review,2025-10-28 06:25:11
A0000331,T00017118,velocity,42.24,closed,2025-07-02 08:42:08
A0000332,T00024316,cross_border,59.41,review,2025-01-25 03:35:23
A0000333,T00001634,velocity,59.68,review,2025-08-18 04:19:49
A0000334,T00005239,velocity,60.28,review,2025-05-21 03:46:18
A0000335,T00002896,velocity,61.32,review,2025-07-01 15:18:36
A0000336,T00016307,high_amount,20.63,closed,2025-01-16 19:02:39
A0000337,T00024773,risky_category,37.6,closed,2025-07-20 01:40:58
A0000338,T00012776,risky_category,68.92,review,2025-09-25 07:46:14
A0000339,T00001849,velocity,79.42,escalated,2025-03-28 16:49:47
A0000340,T00011787,velocity,95.0,escalated,2025-10-23 12:19:58
A0000341,T00005835,blacklist_match,56.05,review,2025-12-19 21:03:47
A0000342,T00017372,risky_category,29.42,closed,2025-12-03 21:12:58
A0000343,T00023112,velocity,41.47,closed,2025-12-09 02:36:51
A0000344,T00015754,new_device,26.85,closed,2025-01-06 05:39:11
A0000345,T00019367,velocity,91.15,escalated,2025-10-16 14:31:00
A0000346,T00024493,velocity,87.14,escalated,2025-05-25 03:40:32
A0000347,T00019193,cross_border,47.06,closed,2025-11-09 12:02:50
A0000348,T00001148,velocity,65.14,review,2025-07-27 13:36:03
A0000349,T00002202,cross_border,51.31,review,2025-02-05 19:48:54
A0000350,T00008402,cross_border,47.45,closed,2025-08-04 15:06:48
A0000351,T00016790,risky_category,31.24,closed,2025-09-09 15:31:53
A0000352,T00010644,high_amount,39.48,closed,2025-04-29 16:49:16
A0000353,T00005444,new_device,46.17,closed,2025-06-04 19:36:34
A0000354,T00020409,new_device,79.47,escalated,2025-07-26 01:42:09
A0000355,T00008539,risky_category,74.02,review,2025-07-16 08:26:21
A0000356,T00014251,new_device,28.88,closed,2025-10-30 18:56:53
A0000357,T00010760,new_device,79.62,escalated,2025-08-31 18:45:07
A0000358,T00002450,new_device,16.1,closed,2025-10-23 05:07:44
A0000359,T00015235,cross_border,62.93,review,2025-09-14 05:38:30
A0000360,T00022459,new_device,30.54,closed,2025-11-12 00:24:55
A0000361,T00015712,blacklist_match,20.63,closed,2025-01-16 04:37:13
A0000362,T00011024,velocity,47.88,closed,2025-12-02 10:06:18
A0000363,T00007619,risky_category,83.06,escalated,2025-10-04 18:03:38
A0000364,T00005788,high_amount,87.57,escalated,2025-11-26 13:49:38
A0000365,T00015654,blacklist_match,34.23,closed,2025-11-03 09:17:19
A0000366,T00009046,blacklist_match,43.24,closed,2025-09-23 01:25:13
A0000367,T00015626,high_amount,54.32,review,2025-04-20 23:24:47
A0000368,T00024208,new_device,57.41,review,2025-06-21 02:30:48
A0000369,T00014114,cross_border,28.14,closed,2025-05-30 08:17:49
A0000370,T00023259,new_device,50.34,review,2025-08-22 12:13:53
A0000371,T00014467,blacklist_match,18.4,closed,2025-06-22 01:19:36
A0000372,T00018913,cross_border,61.47,review,2025-06-12 00:44:55
A0000373,T00011324,cross_border,45.56,closed,2025-01-29 16:24:09
A0000374,T00019446,velocity,43.82,closed,2025-05-01 20:18:43
A0000375,T00022724,risky_category,41.23,closed,2025-06-10 18:49:14
A0000376,T00003121,risky_category,38.36,closed,2025-09-05 11:06:12
A0000377,T00020199,velocity,44.42,closed,2025-08-15 02:15:13
A0000378,T00017481,velocity,55.95,review,2025-05-23 23:17:49
A0000379,T00012706,cross_border,24.07,closed,2025-04-11 04:22:45
A0000380,T00006664,velocity,61.45,review,2025-07-06 16:59:52
A0000381,T00008096,risky_category,39.47,closed,2025-05-01 12:31:28
A0000382,T00005577,velocity,11.17,closed,2025-08-01 02:46:58
A0000383,T00019342,high_amount,24.93,closed,2025-09-24 15:42:34
A0000384,T00002830,velocity,75.04,escalated,2025-04-26 10:02:05
A0000385,T00005558,velocity,37.47,closed,2025-06-18 16:01:25
A0000386,T00010776,new_device,89.46,escalated,2025-10-02 21:09:47
A0000387,T00008243,blacklist_match,31.64,closed,2025-02-10 03:24:39
A0000388,T00016236,risky_category,47.71,closed,2025-08-04 06:23:54
A0000389,T00022553,risky_category,47.56,closed,2025-06-27 09:43:46
A0000390,T00000928,cross_border,36.81,closed,2025-03-24 14:59:51
A0000391,T00023057,new_device,31.16,closed,2025-11-30 00:43:13
A0000392,T00024982,new_device,40.09,closed,2025-04-02 03:50:13
A0000393,T00011247,new_device,35.89,closed,2025-10-29 04:05:16
A0000394,T00022999,new_device,30.98,closed,2025-06-13 17:40:41
A0000395,T00006615,high_amount,83.98,escalated,2025-11-09 00:29:44
A0000396,T00017699,new_device,58.46,review,2025-06-30 13:53:13
A0000397,T00003111,high_amount,84.61,escalated,2025-05-24 08:32:10
A0000398,T00004002,cross_border,80.97,escalated,2025-01-08 12:00:50
A0000399,T00024787,blacklist_match,80.85,escalated,2025-01-02 23:55:16
A0000400,T00022376,cross_border,27.59,closed,2025-10-13 18:49:38
A0000401,T00004761,new_device,52.09,review,2025-07-23 20:35:06
A0000402,T00022540,cross_border,76.96,escalated,2025-03-04 10:50:03
