customer_id,document_type,age,segment,district,kyc_status,risk_level,signup_date,monthly_income_pen
C000070,DNI,31,premium,Miraflores,verified,medium,2024-02-02,4086.74
C000071,DNI,22,affluent,La Molina,verified,medium,2023-07-01,1533.96
C000072,DNI,67,mass_market,Trujillo,verified,low,2023-10-10,1653.33
C000073,DNI,47,mass_market,Arequipa,verified,low,2024-06-16,3672.09
C000074,PASSPORT,73,sme,San Borja,verified,low,2024-07-14,5318.13
C000075,DNI,74,affluent,Trujillo,verified,low,2023-07-09,5273.38
C000076,DNI,72,affluent,Lima,verified,low,2023-07-24,1717.11
C000077,DNI,45,affluent,Trujillo,verified,low,2023-02-13,5136.47
C000078,DNI,62,mass_market,Arequipa,pending,medium,2023-10-27,1122.21
C000079,CE,54,mass_market,San Borja,verified,low,2024-10-01,2666.21
C000080,DNI,25,mass_market,Cusco,verified,low,2024-12-01,3896.62
C000081,DNI,32,sme,Lima,verified,low,2024-11-12,950.19
C000082,DNI,71,affluent,Callao,verified,low,2023-10-06,9424.53
C000083,DNI,45,mass_market,Lima,verified,high,2024-12-13,6183.76
C000084,DNI,53,mass_market,Miraflores,verified,low,2024-01-20,4255.01
C000085,DNI,50,mass_market,Callao,verified,low,2024-09-28,1753.26
C000086,DNI,23,mass_market,Miraflores,verified,medium,2023-11-07,2871.37
C000087,DNI,73,affluent,Arequipa,pending,low,2024-06-11,4604.23
C000088,DNI,68,affluent,La Molina,verified,medium,2023-10-01,1607.66
C000089,DNI,29,sme,San Borja,verified,low,2024-04-26,2699.28
C000090,CE,24,mass_market,Surco,verified,low,2024-03-26,4918.27
C000091,DNI,62,mass_market,Cusco,verified,medium,2024-06-15,1310.25
C000092,DNI,45,affluent,Surco,verified,low,2024-06-14,3578.98
C000093,DNI,24,affluent,Piura,verified,low,2024-06-08,1135.55
C000094,DNI,58,affluent,Piura,verified,low,2023-01-17,1773.81
C000095,DNI,18,affluent,Arequipa,verified,low,2024-12-18,2258.54
C000096,DNI,70,mass_market,La Molina,verified,medium,2023-01-30,3953.89
C000097,CE,41,mass_market,Piura,verified,medium,2024-04-14,2027.51
C000098,DNI,62,mass_market,Lima,verified,low,2023-10-31,3194.07
C000099,DNI,36,mass_market,Trujillo,verified,low,2024-07-08,2042.69
C000100,DNI,70,mass_market,Miraflores,pending,medium,2023-04-03,2226.44
C000101,DNI,49,mass_market,Piura,verified,medium,2024-07-31,5930.5
C000102,DNI,47,affluent,Arequipa,verified,low,2024-09-22,1583.47
C000103,DNI,18,mass_market,Miraflores,verified,medium,2024-08-06,4525.73
C000104,DNI,49,mass_market,Lima,verified,low,2023-06-11,2979.21
C000105,DNI,74,sme,La Molina,verified,low,2023-11-24,2172.09
C000106,DNI,37,mass_market,San Borja,pending,high,2024-12-30,1525.93
C000107,DNI,38,mass_market,Surco,verified,low,2023-09-11,1586.95
C000108,DNI,36,affluent,Lima,verified,low,2024-03-15,1985.74
C000109,DNI,47,mass_market,Cusco,verified,low,2024-07-24,2744.82
C000110,DNI,67,mass_market,Callao,verified,low,2024-06-27,4154.43
C000111,DNI,45,mass_market,Arequipa,verified,low,2023-04-30,2527.2
C000112,DNI,49,mass_market,Surco,verified,medium,2024-05-28,2621.96
C000113,DNI,47,premium,Cusco,verified,low,2024-09-21,2846.39
C000114,DNI,40,sme,San Borja,pending,low,2024-07-02,3874.72
C000115,DNI,44,affluent,Cusco,verified,low,2023-04-07,4249.86
C000116,DNI,54,sme,La Molina,verified,low,2024-01-05,1390.15
C000117,DNI,43,sme,Callao,verified,low,2024-02-21,2552.58
C000118,DNI,20,mass_market,Miraflores,verified,low,2023-09-14,5855.12
C000119,DNI,48,sme,Surco,verified,low,2023-05-08,1445.39
C000120,DNI,19,mass_market,Callao,verified,high,2023-12-25,3105.32
C000121,CE,71,sme,Trujillo,verified,low,2023-06-05,2713.61
C000122,DNI,27,sme,Lima,pending,high,2024-10-18,2182.72
C000123,DNI,55,mass_market,Trujillo,pending,low,2023-02-26,7150.45
C000124,CE,36,mass_market,Lima,pending,medium,2024-08-04,3041.97
C000125,DNI,48,mass_market,La Molina,verified,low,2024-07-09,6844.01
C000126,DNI,46,mass_market,Callao,verified,medium,2024-12-24,2990.2
C000127,DNI,42,sme,San Borja,pending,low,2024-11-17,3839.67
C000128,DNI,49,sme,Piura,rejected,high,2024-10-14,2170.1
C000129,DNI,34,mass_market,Cusco,verified,low,2023-03-17,2183.42
C000130,DNI,68,mass_market,Piura,verified,medium,2023-06-07,3733.65
C000131,DNI,62,mass_market,Callao,verified,medium,2023-03-26,3771.52
C000132,DNI,66,mass_market,Trujillo,verified,low,2023-11-18,4141.83
C000133,DNI,40,mass_market,Piura,verified,low,2023-11-05,3667.16
C000134,DNI,35,mass_market,Arequipa,pending,low,2024-06-13,1429.34
C000135,DNI,28,premium,Piura,pending,medium,2023-10-11,1913.13
C000136,DNI,69,mass_market,Lima,verified,low,2023-02-11,4757.46
C000137,DNI,37,mass_market,Arequipa,verified,low,2023-05-14,1015.2
C000138,CE,30,affluent,Surco,verified,low,2024-09-05,3501.46
C000139,DNI,41,mass_market,Piura,verified,low,2024-10-10,2803.06
C000140,DNI,60,premium,Arequipa,verified,low,2024-02-08,4756.51
C000141,DNI,37,premium,Callao,verified,low,2024-05-07,3748.61
C000142,DNI,68,mass_market,Cusco,verified,low,2023-08-10,2068.98
C000143,DNI,59,mass_market,Surco,pending,low,2023-08-17,2017.99
C000144,DNI,45,mass_market,San Borja,verified,low,2024-03-27,2236.06
C000145,DNI,52,mass_market,San Borja,verified,low,2023-11-02,4101.2
C000146,DNI,38,mass_market,La Molina,pending,low,2023-04-29,840.32
C000147,DNI,23,affluent,Piura,verified,low,2024-09-02,3250.48
C000148,DNI,24,mass_market,Cusco,verified,low,2023-11-20,1834.14
C000149,DNI,46,mass_market,Miraflores,verified,high,2023-06-08,3310.85
C000150,DNI,70,mass_market,Arequipa,verified,low,2023-08-27,3602.83
C000151,DNI,40,sme,Surco,verified,low,2024-01-31,1194.78
C000152,DNI,69,mass_market,Callao,verified,low,2023-11-16,2631.27
C000153,DNI,22,mass_market,Piura,pending,low,2023-07-08,3247.25
C000154,DNI,39,mass_market,Callao,verified,low,2023-11-05,3128.7
C000155,CE,26,premium,Miraflores,verified,medium,2023-09-06,2787.19
C000156,DNI,49,mass_market,La Molina,verified,low,2024-06-21,1523.11
C000157,DNI,71,affluent,Miraflores,verified,low,2024-12-01,1656.16
C000158,DNI,27,affluent,Lima,verified,low,2024-05-20,1396.99
C000159,DNI,63,mass_market,Trujillo,verified,medium,2024-01-29,4042.93
C000160,DNI,60,affluent,Surco,verified,low,2024-10-13,2797.37
C000161,CE,66,mass_market,Trujillo,verified,low,2024-02-10,2897.3
C000162,DNI,45,affluent,Miraflores,verified,low,2023-06-30,1166.75
C000163,DNI,28,affluent,La Molina,verified,low,2023-01-21,2926.37
C000164,DNI,24,mass_market,La Molina,verified,medium,2024-11-05,4223.84
C000165,DNI,47,mass_market,San Borja,pending,low,2024-08-05,1082.46
C000166,DNI,60,sme,Piura,verified,low,2024-08-16,2220.59
C000167,DNI,62,mass_market,San Borja,verified,low,2023-06-04,1256.78
C000168,CE,68,mass_market,Surco,verified,low,2024-07-12,2365.74
C000169,DNI,55,mass_market,Surco,verified,low,2023-07-13,1816.11
C000170,CE,51,affluent,Surco,verified,medium,2023-08-12,3675.7
C000171,DNI,63,affluent,Callao,verified,low,2024-02-03,3271.75
C000172,PASSPORT,45,mass_market,San Borja,verified,low,2023-10-07,6065.23
C000173,DNI,49,mass_market,Callao,verified,low,2023-01-10,2893.6
C000174,DNI,33,mass_market,Trujillo,verified,medium,2024-01-11,3590.94
C000175,DNI,56,affluent,Piura,verified,low,2024-04-16,2193.52
C000176,DNI,18,mass_market,Miraflores,verified,high,2023-06-01,1625.08
C000177,DNI,51,affluent,Arequipa,verified,low,2024-09-07,4717.9
C000178,DNI,58,mass_market,San Borja,verified,low,2023-05-04,5906.39
C000179,DNI,74,premium,Arequipa,verified,low,2024-11-27,4394.51
C000180,DNI,40,mass_market,La Molina,pending,low,2024-07-06,3204.06
C000181,DNI,67,mass_market,San Borja,verified,low,2024-02-28,1744.54
C000182,DNI,70,mass_market,Trujillo,verified,low,2024-06-06,5585.31
C000183,DNI,37,premium,San Borja,verified,low,2024-12-30,4099.95
C000184,DNI,35,sme,Callao,verified,low,2024-05-27,9078.67
C000185,DNI,35,mass_market,Piura,verified,low,2023-06-20,1579.82
C000186,DNI,59,affluent,Miraflores,verified,low,2024-07-18,4790.6
C000187,CE,57,sme,Cusco,verified,medium,2023-05-05,4031.96
C000188,DNI,38,affluent,Miraflores,rejected,low,2023-06-24,2469.78
C000189,DNI,25,mass_market,Miraflores,verified,medium,2024-05-18,6311.38
C000190,DNI,51,mass_market,La Molina,verified,low,2024-01-20,3719.3
C000191,DNI,67,mass_market,Trujillo,verified,low,2024-12-11,1780.61
C000192,DNI,28,sme,Arequipa,verified,high,2024-11-14,2793.12
C000193,DNI,60,sme,Trujillo,verified,low,2024-07-24,1768.93
C000194,DNI,68,affluent,Cusco,verified,low,2023-04-16,2303.8
C000195,DNI,60,mass_market,La Molina,verified,low,2024-09-28,4390.09
C000196,DNI,27,mass_market,Piura,verified,low,2024-06-11,5136.36
C000197,DNI,25,affluent,Miraflores,verified,medium,2023-02-07,3366.63
C000198,DNI,64,sme,Callao,verified,medium,2024-01-30,1973.29
C000199,DNI,25,sme,La Molina,verified,low,2024-04-21,3677.12
C000200,DNI,36,affluent,Surco,verified,low,2024-04-11,4437.6
C000201,DNI,18,affluent,San Borja,verified,medium,2024-12-22,1007.61
C000202,CE,72,mass_market,Trujillo,verified,low,2024-05-19,3178.18
C000203,DNI,69,mass_market,La Molina,verified,low,2023-11-11,2684.89
C000204,CE,20,sme,Surco,verified,low,2023-10-12,5036.88
C000205,CE,70,affluent,Arequipa,verified,low,2024-04-08,3685.38
C000206,DNI,61,mass_market,Cusco,verified,medium,2024-11-10,3890.89
C000207,DNI,49,mass_market,Cusco,verified,low,2023-09-21,2286.89
C000208,DNI,65,affluent,Miraflores,verified,low,2024-09-01,2983.67
C000209,DNI,71,mass_market,Miraflores,verified,low,2024-10-07,5009.18
C000210,DNI,33,mass_market,La Molina,verified,medium,2024-03-04,2876.46
C000211,DNI,47,mass_market,La Molina,verified,low,2023-12-31,3281.54
C000212,DNI,66,affluent,Piura,verified,medium,2023-06-30,1280.78
C000213,DNI,45,affluent,San Borja,verified,medium,2024-10-22,2870.68
C000214,DNI,45,mass_market,Lima,verified,low,2023-09-01,985.75
C000215,DNI,33,affluent,Arequipa,verified,low,2023-11-09,2244.24
C000216,DNI,58,mass_market,Miraflores,verified,low,2023-03-17,3086.93
C000217,DNI,71,mass_market,Lima,verified,low,2023-09-19,4545.38
C000218,DNI,68,affluent,Lima,verified,medium,2023-08-19,1720.66
C000219,DNI,50,affluent,San Borja,pending,low,2024-12-03,3661.13
C000220,DNI,42,sme,Callao,verified,low,2024-01-15,6685.33
C000221,DNI,35,affluent,Callao,verified,low,2024-10-07,2095.59
C000222,CE,43,affluent,Miraflores,verified,medium,2023-11-05,1272.99
C000223,DNI,23,mass_market,Surco,pending,low,2024-01-23,3496.13
C000224,DNI,55,mass_market,San Borja,verified,low,2023-11-21,1547.51
C000225,DNI,61,mass_market,San Borja,verified,low,2024-03-31,1899.89
C000226,DNI,20,mass_market,Trujillo,verified,low,2024-05-26,4953.43
C000227,DNI,60,premium,Lima,verified,low,2023-12-09,8369.04
C000228,DNI,23,mass_market,Trujillo,verified,low,2024-05-30,1719.21
C000229,DNI,31,sme,Lima,verified,low,2024-03-17,1987.08
C000230,DNI,35,affluent,Callao,verified,low,2024-07-02,2340.39
C000231,CE,33,affluent,Miraflores,verified,medium,2024-08-05,2205.49
C000232,DNI,41,mass_market,Arequipa,verified,low,2023-09-19,8632.69
C000233,DNI,30,affluent,Callao,verified,low,2024-04-07,2226.5
C000234,DNI,18,mass_market,San Borja,verified,low,2024-11-20,2408.44
C000235,PASSPORT,55,mass_market,Arequipa,verified,low,2024-08-30,7251.02
C000236,DNI,31,affluent,La Molina,verified,low,2023-08-15,4093.57
C000237,DNI,34,mass_market,Arequipa,verified,high,2024-06-06,5126.84
C000238,DNI,74,mass_market,Arequipa,verified,low,2023-07-08,1811.01
C000239,DNI,30,affluent,Callao,verified,low,2023-07-28,2226.98
C000240,DNI,30,mass_market,San Borja,verified,low,2023-01-13,1682.7
C000241,DNI,26,premium,Arequipa,verified,low,2023-06-11,4631.77
C000242,DNI,23,premium,Callao,verified,low,2024-07-25,5848.17
C000243,DNI,23,sme,Callao,verified,medium,2024-05-07,2143.35
C000244,DNI,74,mass_market,Arequipa,verified,low,2024-03-10,2439.79
C000245,DNI,47,mass_market,Lima,verified,low,2023-01-05,2499.21
C000246,DNI,54,premium,San Borja,verified,high,2023-07-21,1272.87
C000247,DNI,74,mass_market,Cusco,verified,low,2024-02-20,2057.81
C000248,DNI,70,premium,Arequipa,verified,low,2023-01-12,4561.0
C000249,DNI,63,premium,Trujillo,verified,low,2024-02-01,1841.84
C000250,DNI,31,sme,Trujillo,verified,low,2023-12-07,3137.37
C000251,DNI,21,mass_market,La Molina,pending,low,2024-01-08,1451.84
C000252,DNI,51,mass_market,San Borja,pending,medium,2024-01-13,2753.97
C000253,DNI,19,sme,Callao,verified,medium,2023-08-13,2186.75
C000254,DNI,34,mass_market,Piura,verified,medium,2023-07-01,1522.46
C000255,DNI,59,mass_market,Miraflores,verified,low,2023-10-24,4604.15
C000256,DNI,31,affluent,Surco,verified,medium,2023-11-03,4748.79
C000257,DNI,68,premium,Piura,verified,low,2024-03-06,1748.92
C000258,DNI,34,affluent,San Borja,verified,low,2024-11-20,2646.78
C000259,DNI,71,affluent,San Borja,verified,low,2023-04-28,3054.51
C000260,DNI,47,mass_market,Arequipa,verified,low,2023-12-18,1098.7
C000261,PASSPORT,60,affluent,Arequipa,verified,high,2024-08-10,1382.43
C000262,DNI,46,premium,Piura,verified,low,2023-02-15,6047.84
C000263,DNI,24,mass_market,Callao,verified,medium,2023-08-15,1659.35
C000264,DNI,26,mass_market,La Molina,verified,low,2023-12-22,5955.08
C000265,DNI,63,sme,Arequipa,verified,low,2023-10-21,1422.29
C000266,DNI,40,affluent,Surco,verified,low,2023-08-28,4282.77
C000267,DNI,53,affluent,Surco,verified,low,2023-12-14,2511.87
C000268,DNI,31,affluent,La Molina,verified,medium,2023-05-21,2713.73
C000269,DNI,37,mass_market,Lima,verified,low,2023-07-23,8273.1
C000270,DNI,73,mass_market,Lima,verified,high,2024-10-23,1495.47
C000271,DNI,69,sme,San Borja,verified,low,2024-10-03,4134.57
C000272,DNI,34,sme,Arequipa,verified,low,2023-09-26,4041.69
C000273,DNI,49,sme,Trujillo,verified,low,2023-11-09,18864.09
C000274,DNI,42,sme,Piura,verified,medium,2024-02-22,1648.43
C000275,DNI,68,mass_market,Cusco,pending,low,2023-05-17,2112.67
C000276,DNI,47,mass_market,La Molina,verified,low,2024-09-19,4669.27
C000277,DNI,66,affluent,San Borja,verified,low,2023-12-17,2670.06
C000278,DNI,74,affluent,Trujillo,verified,low,2023-06-10,2310.74
C000279,DNI,44,affluent,Arequipa,rejected,low,2024-10-28,5047.41
C000280,DNI,44,affluent,Trujillo,verified,low,2023-06-22,2574.44
C000281,CE,63,sme,Trujillo,verified,low,2023-05-10,1825.26
C000282,DNI,48,mass_market,La Molina,verified,low,2023-03-20,4444.47
C000283,CE,62,mass_market,San Borja,pending,low,2024-07-22,3664.36
C000284,DNI,43,mass_market,Callao,verified,low,2023-02-26,2509.74
C000285,DNI,31,affluent,Surco,verified,low,2024-02-04,2445.08
C000286,CE,65,mass_market,Piura,verified,low,2023-12-29,1802.27
C000287,DNI,38,mass_market,San Borja,verified,low,2023-12-01,4441.75
C000288,DNI,45,mass_market,Cusco,verified,low,2023-05-14,2445.34
C000289,DNI,32,mass_market,Trujillo,verified,low,2023-01-14,1951.95
C000290,DNI,47,affluent,Callao,verified,low,2023-10-10,1469.89
C000291,DNI,42,mass_market,La Molina,verified,low,2024-10-20,3698.51
C000292,DNI,68,mass_market,Miraflores,pending,low,2024-02-25,2253.59
C000293,DNI,71,sme,Piura,verified,low,2023-05-07,985.38
C000294,DNI,28,mass_market,Piura,verified,medium,2023-08-06,1537.94
C000295,DNI,61,mass_market,Surco,verified,low,2024-11-10,2621.55
C000296,DNI,28,mass_market,Miraflores,verified,low,2024-10-16,2662.32
C000297,PASSPORT,45,affluent,Arequipa,pending,low,2024-05-03,2607.25
C000298,DNI,72,mass_market,Miraflores,pending,low,2023-09-17,2415.07
C000299,DNI,22,affluent,Trujillo,verified,low,2023-08-06,1323.82
C000300,DNI,45,mass_market,Trujillo,pending,medium,2024-10-19,1842.72
C000301,DNI,25,mass_market,Trujillo,verified,low,2024-05-03,5716.3
C000302,DNI,43,mass_market,Trujillo,verified,high,2024-03-18,5270.74
C000303,CE,23,mass_market,San Borja,verified,low,2023-04-09,4096.44
C000304,DNI,49,affluent,Piura,verified,medium,2023-07-01,3901.93
C000305,DNI,65,affluent,Miraflores,verified,low,2023-06-18,4903.06
C000306,CE,49,premium,Piura,verified,low,2023-08-21,1609.31
C000307,CE,29,mass_market,Cusco,pending,low,2023-04-03,3035.44
C000308,DNI,23,mass_market,Miraflores,verified,low,2024-09-20,1609.78
C000309,DNI,30,affluent,San Borja,verified,medium,2024-04-16,1625.22
C000310,DNI,56,mass_market,Cusco,verified,low,2024-05-30,3649.83
C000311,DNI,57,mass_market,Piura,verified,low,2023-03-26,5017.63
C000312,DNI,61,mass_market,Cusco,pending,low,2024-11-09,2679.49
C000313,DNI,51,mass_market,Surco,pending,low,2024-06-02,7383.11
C000314,DNI,40,premium,Cusco,verified,medium,2024-01-16,3349.22
C000315,DNI,58,sme,Miraflores,verified,low,2024-02-11,1944.52
C000316,DNI,62,affluent,Trujillo,verified,low,2023-08-20,1639.75
C000317,CE,34,mass_market,Trujillo,verified,low,2023-09-08,5218.54
C000318,DNI,62,mass_market,Arequipa,verified,low,2023-03-26,3199.19
C000319,DNI,65,mass_market,Piura,verified,medium,2023-11-15,4323.52
C000320,DNI,18,mass_market,Surco,verified,medium,2023-07-12,690.99
C000321,DNI,24,mass_market,Miraflores,verified,low,2024-09-26,3410.35
C000322,CE,30,affluent,Miraflores,verified,low,2024-08-23,2249.64
C000323,DNI,31,affluent,La Molina,verified,medium,2024-08-29,1384.97
C000324,DNI,70,mass_market,Lima,verified,low,2023-10-27,2879.94
C000325,CE,34,premium,Piura,verified,low,2023-12-24,5434.36
C000326,CE,47,affluent,Miraflores,verified,low,2024-07-10,10367.44
C000327,DNI,65,affluent,Callao,verified,low,2024-03-28,3405.63
C000328,DNI,64,affluent,Miraflores,verified,low,2024-07-16,2018.22
C000329,DNI,66,mass_market,La Molina,verified,high,2024-05-20,1952.32
C000330,DNI,51,mass_market,Cusco,verified,low,2023-03-06,5063.04
C000331,PASSPORT,44,mass_market,San Borja,verified,low,2024-07-19,1722.82
C000332,DNI,42,affluent,San Borja,verified,low,2023-08-10,4197.88
C000333,DNI,61,mass_market,Callao,verified,low,2024-04-10,3503.52
C000334,DNI,52,mass_market,Callao,verified,low,2023-03-13,3296.79
C000335,DNI,26,mass_market,Arequipa,verified,low,2024-04-18,1258.32
C000336,DNI,23,mass_market,San Borja,verified,low,2024-11-10,2449.58
C000337,DNI,43,sme,Cusco,verified,medium,2024-11-28,1336.77
C000338,DNI,55,affluent,San Borja,pending,low,2024-10-16,2156.98
C000339,CE,56,mass_market,Lima,verified,low,2023-01-19,4936.57
C000340,DNI,44,mass_market,Piura,verified,low,2024-06-05,5866.9
C000341,DNI,57,mass_market,San Borja,pending,low,2024-11-13,3353.2
C000342,DNI,48,mass_market,Trujillo,verified,high,2024-02-19,2178.33
C000343,DNI,20,mass_market,Arequipa,verified,low,2023-12-30,7139.9
C000344,DNI,41,mass_market,La Molina,verified,low,2024-06-11,2162.51
C000345,DNI,32,mass_market,Callao,verified,low,2023-03-21,1596.19
C000346,DNI,71,affluent,Lima,verified,low,2023-07-09,4372.39
C000347,DNI,23,affluent,Callao,verified,low,2023-05-28,3834.34
C000348,DNI,28,mass_market,Arequipa,verified,medium,2024-11-05,2211.85
C000349,DNI,47,mass_market,Miraflores,verified,low,2024-03-18,3149.89
C000350,DNI,52,affluent,Lima,verified,low,2023-09-22,3801.64
C000351,DNI,65,mass_market,Surco,verified,high,2024-10-11,3334.32
C000352,DNI,55,sme,Lima,verified,low,2024-05-23,3836.89
C000353,DNI,60,affluent,Arequipa,verified,low,2023-10-28,2257.15
C000354,DNI,57,mass_market,La Molina,verified,low,2024-04-10,3981.58
C000355,DNI,46,mass_market,Lima,verified,medium,2023-12-31,3009.88
C000356,DNI,40,affluent,Arequipa,verified,low,2024-02-03,2299.63
C000357,DNI,59,mass_market,Cusco,verified,low,2024-05-07,2603.89
C000358,DNI,59,affluent,Piura,verified,low,2024-06-25,2824.69
C000359,DNI,72,premium,San Borja,verified,low,2024-04-24,1346.2
C000360,DNI,20,affluent,Cusco,verified,low,2023-06-17,2100.3
C000361,DNI,43,mass_market,Arequipa,verified,low,2024-08-25,3089.29
C000362,DNI,31,affluent,Trujillo,verified,low,2023-04-01,1417.93
C000363,DNI,36,mass_market,Miraflores,verified,low,2024-12-23,2119.73
C000364,DNI,38,mass_market,San Borja,verified,medium,2023-10-27,11065.14
C000365,DNI,38,premium,Trujillo,verified,low,2023-06-23,1601.84
C000366,CE,26,mass_market,La Molina,verified,low,2024-10-07,2413.67
C000367,DNI,30,premium,Callao,pending,low,2024-01-08,1884.57
C000368,DNI,58,sme,Surco,verified,low,2023-01-24,2795.37
C000369,DNI,70,mass_market,San Borja,verified,low,2023-07-20,1904.16
C000370,DNI,61,mass_market,Cusco,verified,low,2023-01-07,2607.68
C000371,DNI,63,mass_market,Miraflores,verified,low,2023-01-06,2007.81
C000372,DNI,54,mass_market,Trujillo,verified,low,2024-09-21,5325.81
C000373,DNI,55,mass_market,Arequipa,verified,low,2023-06-10,3117.85
C000374,DNI,62,affluent,San Borja,verified,low,2024-08-19,1717.05
C000375,DNI,62,mass_market,Callao,verified,low,2023-09-05,4733.58
C000376,CE,41,mass_market,Arequipa,verified,low,2023-06-15,1759.8
C000377,DNI,55,sme,Trujillo,verified,low,2024-03-03,1261.12
C000378,PASSPORT,63,mass_market,Miraflores,verified,medium,2023-05-25,2975.97
C000379,DNI,28,sme,Lima,verified,medium,2024-05-25,8509.98
C000380,DNI,46,mass_market,Callao,verified,low,2024-06-26,1090.93
C000381,CE,62,mass_market,Arequipa,verified,low,2024-05-23,1433.62
